K_beta	Mean_C1	Mean_C2	N	N_C1	N_C2	N_Tail	pi_C1	pi_C2	pi_Tail	rcc_C1	rcc_C2	rcc_Tail	Scale_Tail	Shape_Tail	tail	Variance_C1	Variance_C2	NLL	BIC	AIC	entropy	ICL	reduced.entropy	reICL	size	sse_total	sse_0_0.1	sse_0.1_0.2	sse_0.2_0.3	sse_0.3_0.4	sse_0.4_0.5	sse_0.5_0.6	sse_0.6_0.7	sse_0.7_0.8	sse_0.8_0.9	sse_0.9_1	sample	karyotype	Mean_Tail	Variance_Tail	Mean_C3	N_C3	pi_C3	rcc_C3	Variance_C3
2	0.19462415095509408	0.09076506192721705	2240	1935	305	0	0.8663464371418363	0.13365356285816377	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.0017766777997470487	2.71302952532754e-4	-3473.552411292469	-6900.819435715844	-6935.104822584938	151.73067584877953	-6749.088759867064	151.7306758487795	-6749.088759867064	6	8.248941237810455e-4	7.894057619979068e-5	3.8848249310309454e-4	3.5052188990916086e-4	6.759818148361531e-6	1.893464206359214e-7	1.9540557497614646e-18	1.1850637788553117e-30	1.5439114231167946e-44	4.444858464730003e-67	3.8925840596533916e-107	./160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306	1:0	NA	NA	NA	NA	NA	NA	NA
1	0.1614404538815081	NA	29940	29940	NA	0	1	NA	0	TRUE	NA	TRUE	NA	NA	FALSE	0.001683166574333324	NA	-52993.27356444464	-105955.62627691535	-105980.54712888927	-0	-105955.62627691535	-0	-105955.62627691535	3	0.002242019771660373	1.5821014922599432e-4	0.0016563031640328208	4.2742329872792203e-4	6.228844771283834e-8	1.975565953786495e-8	1.1155663846883018e-9	1.0301907959179659e-32	2.8898765487042216e-46	5.249430877905342e-68	2.689495381984165e-106	./160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306	1:1	NA	NA	NA	NA	NA	NA	NA
2	0.28605971430409577	0.13273389639041602	2172	780	1392	0	0.3491928179520573	0.6508071820479427	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.001510249677091224	0.001716904935060672	-2704.685204975302	-5363.269987864281	-5397.370409950604	180.44507373622437	-5182.824914128057	180.44507373622434	-5182.824914128057	6	0.001253929770483179	2.2750817745738398e-4	6.453497915198722e-4	2.303422473290616e-4	1.4929082136977734e-4	1.4387327982389974e-6	8.844930950037675e-15	8.550581149061429e-29	9.60888359929454e-44	9.599802707812934e-63	7.769422251091627e-96	./160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306	2:1	NA	NA	NA	NA	NA	NA	NA
2	0.4776973655958371	0.14863234138581985	643	407	236	0	0.6380866454049401	0.36191335459505997	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.006335514795838566	0.0023264586424916987	-440.89370406722946	-842.9905397890332	-869.7874081344589	15.325751840666609	-827.6647879483666	15.325751840666607	-827.6647879483666	6	0.002262318604496443	3.903677358144821e-4	5.213208417787124e-4	2.8362908642994906e-4	8.324247931360794e-5	3.644432433810229e-4	5.73327146720503e-4	3.923359334617583e-5	4.337548492331915e-6	2.4169292196577866e-6	1.5613354379393044e-21	./160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	1:0	NA	NA	NA	NA	NA	NA	NA
2	0.33316704923565393	0.12186412943461704	539	474	65	0	0.8777019899902302	0.12229801000976985	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.0037644180135353797	0.0016639111318455177	-590.1745356400762	-1142.6107778546984	-1168.3490712801524	18.734614944044772	-1123.8761629106536	18.734614944044772	-1123.8761629106536	6	0.0015151523401994269	7.811926569209868e-5	1.8185602874274198e-4	2.4330912633379337e-4	8.55526610512618e-4	1.475430586696845e-4	8.79820049885059e-6	4.974962255674633e-11	1.71208119933603e-17	1.098888260489053e-28	1.6272611435363127e-49	./160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	1:1	NA	NA	NA	NA	NA	NA	NA
1	0.32062107207810714	NA	1225	1225	NA	0	1	NA	0	TRUE	NA	TRUE	NA	NA	FALSE	0.01818370025769701	NA	-745.1052707081192	-1468.878453047302	-1484.2105414162384	-0	-1468.878453047302	-0	-1468.878453047302	3	0.00572478276402495	1.334239010567963e-4	4.158135342078094e-4	0.0012565094204250707	0.0018374569434317987	0.001391260738833238	6.413439439518753e-4	4.572240702568557e-5	3.229644112299194e-6	2.222766675629859e-8	3.313621053418118e-12	./160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	2:1	NA	NA	NA	NA	NA	NA	NA
2	0.6454086495483548	0.18963324460320702	2009	1209	800	0	0.5979666955367011	0.40203330446329893	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.003906004423458004	0.01087344012987905	-1081.5350791980504	-2117.4378042072112	-2151.070158396101	43.71448541381471	-2073.7233187933966	43.71448541381469	-2073.7233187933966	6	0.0017832655773354418	9.17672583157736e-4	2.3903901491969634e-4	1.8640925262120017e-4	6.762745611874604e-5	1.0900604010293833e-5	7.131988615858892e-5	1.7320461607493436e-4	1.0895714516888521e-4	7.144223275512859e-6	9.907958298481126e-7	./160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	2:0	NA	NA	NA	NA	NA	NA	NA
2	0.3842615276429054	0.16619914934868962	1620	1177	443	0	0.7348219557563028	0.26517804424369723	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.002138493126923603	0.0032691135910281194	-1609.4311361615678	-3174.521183753777	-3206.8622723231356	76.41780171936614	-3098.103382034411	76.41780171936612	-3098.103382034411	6	9.147634145192244e-4	6.416738719023445e-5	8.178516399985993e-5	1.4918967972023695e-4	4.728231285635441e-4	1.4015352129173646e-4	5.501414722231742e-6	6.043184740402689e-13	1.1431184270622723e-6	1.012471949755331e-37	2.560240955300389e-57	./160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	2:2	NA	NA	NA	NA	NA	NA	NA
2	0.14900249772709948	0.07593707484611394	1975	463	1512	0	0.2645934295877909	0.7354065704122091	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.002119812276343233	1.3009130891496976e-4	-4536.375323585929	-9027.220705107848	-9060.750647171859	328.67679894983985	-8698.543906158007	328.67679894983985	-8698.543906158007	6	0.008674284596974745	0.008241930759984457	3.935415388923104e-4	3.8702167735725954e-5	1.1012623608307706e-7	4.1261668319440005e-12	1.9937579092310903e-18	1.0258284747908668e-27	5.428451664472512e-38	2.203761299610777e-54	3.991299459688099e-83	./160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011	1:0	NA	NA	NA	NA	NA	NA	NA
2	0.1414802098227766	0.06936157907385983	14436	6171	8265	0	0.4584048059605077	0.5415951940394923	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.0016754581516726626	9.568146660870264e-5	-29563.493902126622	-59069.52292205867	-59114.987804253244	2356.121788973234	-56713.401133085434	2356.121788973234	-56713.401133085434	6	0.0068721473514648185	0.006624142907923289	2.2062744315969412e-4	2.726240182145155e-5	1.1459849369133509e-7	6.66931924649293e-14	9.713526730496828e-22	3.158158104008951e-33	6.495001620978866e-46	3.9491538968372597e-66	1.4970803349315502e-101	./160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011	1:1	NA	NA	NA	NA	NA	NA	NA
2	0.26706573666290584	0.10523440610883465	1145	80	1065	0	0.06797931918714596	0.932020680812854	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.001365083035148008	0.0019160998682155865	-1833.8994848011537	-3625.5400101063774	-3655.7989696023074	54.42527059751811	-3571.114739508859	54.425270597518114	-3571.114739508859	6	0.016446030031526268	0.015176722904517548	0.0012442476672764055	2.1481760901466543e-5	3.5769440754047326e-6	7.547554398249916e-10	3.3635095028958035e-18	5.647169769376147e-27	4.160740461633097e-36	1.7788129360327234e-50	2.1272816889304985e-75	./160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011	2:1	NA	NA	NA	NA	NA	NA	NA
1	0.47160095162947646	NA	13510	9224	NA	4286	0.6600540926955654	NA	0.33994590730443464	TRUE	NA	TRUE	0.05660377258490566	1.4333687657864536	TRUE	0.007413968335079573	NA	-9025.996216284515	-17994.925319983304	-18039.99243256903	1418.0123517454851	-16576.91296823782	-0	-17994.925319983304	6	0.010900947358671571	0.009149079131896396	4.514417122803432e-4	3.730949982978412e-5	1.0596613212195963e-4	5.411605903899914e-4	5.368513617865127e-4	6.505239954717892e-5	1.3880058045267676e-5	1.2222266012319377e-7	8.425011401502852e-8	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	1:0	0.18721718327264703	Inf	NA	NA	NA	NA	NA
1	0.30533818520947364	NA	35897	33062	NA	2835	0.9117744566581941	NA	0.0882255433418058	TRUE	NA	TRUE	0.050314464408805035	1.3458651580775338	TRUE	0.001899375043666585	NA	-52231.214222184535	-104399.49799033592	-104450.42844436907	1958.9695090290227	-102440.5284813069	-0	-104399.49799033592	6	9.363817246621126e-4	1.9317291254479873e-4	9.251461583557948e-6	3.712853911746244e-4	3.565505625308892e-4	6.048596015661876e-6	3.4440468063597854e-8	1.2305791848744065e-8	9.99492852846304e-9	1.0101245769852759e-8	5.958378369819471e-9	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	1:1	0.19578868531175547	Inf	NA	NA	NA	NA	NA
2	0.46548149088376906	0.22638498339476906	4904	2015	2743	146	0.408095827255659	0.5510223815106505	0.04088179123369049	TRUE	TRUE	FALSE	0.05113636263636364	1.2163263409535179	TRUE	0.0020549726593577806	0.0019477809728726061	-4552.632728042891	-9028.785197787238	-9087.265456085783	390.07215386785873	-8638.713043919379	61.936995610639066	-8966.8482021766	9	8.345959007443746e-4	1.6231359975406414e-5	2.1112037258535224e-4	4.7741574690615397e-4	2.0251753240576703e-5	6.127814416584168e-5	4.775402678683928e-5	5.31647259067787e-7	6.70742186971725e-9	3.821345162462758e-9	2.321058104402693e-9	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	2:1	0.28752164244540607	Inf	NA	NA	NA	NA	NA
2	0.6125158818793276	0.30601731592927633	4024	2809	624	591	0.6944863386421696	0.14487051225493122	0.1606431491028992	FALSE	FALSE	FALSE	0.05161290222580645	1.3627765259740525	TRUE	0.0020391442244619908	0.0018314832200268737	-3653.5451256995266	-7232.389965993037	-7289.090251399053	285.1573492219308	-6947.232616771106	2.1842496118998875	-7230.205716381137	9	9.443814187596451e-4	5.768113365569937e-4	8.642448140501975e-6	2.8110350550762694e-5	3.410130146995926e-5	1.2256075910069438e-6	1.329421581868693e-4	1.5050811273037515e-4	1.1896387061613781e-5	1.2405306606798925e-7	1.9663405494293675e-8	./160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	2:0	0.1938847928538623	Inf	NA	NA	NA	NA	NA
