row	sample	page	QC	karyotype
1	160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306	1	p	01:00
2	160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306		p	01:01
3	160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306		p	02:01
4	160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306			02:00
5	160704_HMFregCPCT_FR10301986_FR12244591_CPCT02020306			02:02
6	160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245	2	r	01:00
7	160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245		p	01:01
8	160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245		f	02:01
9	160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245		f	02:00
10	160704_HMFregCPCT_FR12244543_FR12244602_CPCT02030245		p	02:02
11	160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011	3	p	01:00
12	160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011		p	01:01
13	160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011		f	02:01
14	160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011			02:00
15	160704_HMFregCPCT_FR12244545_FR12244599_CPCT02100011			02:02
16	160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002	4	p	01:00
17	160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002		p	01:01
18	160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002		p	02:01
19	160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002		p	02:00
20	160704_HMFregCPCT_FR12244557_FR12244595_CPCT02110002		p	02:02
21	160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247	5	p	01:00
22	160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247		p	01:01
23	160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247		p	02:01
24	160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247			02:00
25	160704_HMFregCPCT_FR12244561_FR12244603_CPCT02030247		p	02:02
26	160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314	6	f	01:00
27	160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314		p	01:01
28	160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314		p	02:01
29	160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314			02:00
30	160709_HMFregCPCT_FR10301841_FR12244644_CPCT02020314			02:02
31	160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	7	p	01:00
32	160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307		p	01:01
33	160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307		f	02:01
34	160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307		r	02:00
35	160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307		f	02:02
36	160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310			01:00
37	160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310			01:01
38	160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310		f	02:01
39	160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310		f	02:00
40	160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310		f	02:02
41	160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308		r	01:00
42	160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308		p	01:01
43	160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308		p	02:01
