tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF,ratioM,ratioV,ratioN,minpi,QC,prob
TRUE,2,548,112,7,429,0.252845483,0.0113160456,0.7358384713,0.1337304311,0.3377206835,0.1690308257,Inf,2.13419433988069e-5,0.0025005028,0.050387599,1.6045822745,1,2:0,-760.6679069393,-1445.6605104353,-1497.3358138786,183.0291180048,-1262.6313924305,2.8863281892,-1442.7741822471,12,F,0.002017193601155043,117.1637818203467,53.75,0.0113160456,FAIL,2.2204460492503126e-16
FALSE,2,36,0,4,32,0,0.9146036988,0.0853963012,NA,0.3996183166,0.1914185761,NA,4.357861e-4,0.0064109619,NA,NA,1,2:1,-36.0271008962,-43.3860502848,-56.0542017924,2.2123319595,-41.1737183253,2.2123319595,-41.1737183257,8,F,0.08766737660420842,14.711258344403365,6.6,0.0853963012,FAIL,0.0022106485771327916
FALSE,2,27,0,1,26,0,0.9629631271,0.0370368729,NA,0.443396,0.1923719966,NA,3.08148791101958e-33,0.0027793359,NA,NA,1,2:2,-69.9396114918,-113.5125280556,-123.8792229837,4.04760195659921e-16,-113.5125280556,4.04760195659921e-16,-113.5124690033,8,F,0.3048884860406962,9019460663989408e14,13.5,0.0370368729,FAIL,2.2204460492503126e-16
TRUE,2,771,138,265,368,0.2087894907,0.3392732771,0.4519372322,0.1087588863,0.4513438193,0.2175013215,Inf,0.0037486177,0.002318271,0.053191499,1.9572431166,2,2:0,-592.5506675761,-1105.3290746695,-1161.1013351523,142.0138662415,-963.315208428,31.0021296529,-1074.3269450087,12,P,0.07513138856951729,1.6169885660477141,1.387218045112782,0.3392732771,PASS,0.9777445239252915
TRUE,2,6469,565,1196,4708,0.1157048402,0.7035842553,0.1807109045,0.1137652297,0.3733453525,0.1772996756,Inf,0.00214069,0.001778056,0.050420199,1.7959613953,2,2:1,-7406.5401693061,-14707.7830168197,-14789.0803386123,1191.2046433434,-13516.5783734764,200.9787749992,-14506.8042417873,12,P,0.10573060123523437,1.2039497068708749,3.934001670843776,0.1807109045,PASS,0.968063369602101
TRUE,2,1264,95,467,702,0.106904054,0.5330227732,0.3600731727,0.1073205681,0.306593685,0.1468189167,Inf,0.0018016144,0.0012333371,0.050420199,1.8861137429,2,2:2,-1464.852622201,-2844.0008055054,-2905.7052444019,268.5195483943,-2575.4812571111,65.9573852222,-2778.0434202657,12,P,0.08824374877028385,1.4607639711803042,1.5021367521367521,0.3600731727,PASS,0.9797425106521361
TRUE,2,473,18,175,280,0.0554572009,0.368589562,0.5759532371,0.1281543277,0.4840765001,0.2187682111,Inf,0.0050043912,0.0037906001,0.053333299,1.7128116244,3,2:0,-312.6928047651,-551.4764648684,-601.3856095303,72.9801202891,-478.4963445793,30.5080332278,-520.9684316344,12,P,0.21273693132100568,1.3202108025059145,1.5965909090909092,0.368589562,PASS,0.966072841271984
FALSE,2,19,0,2,17,0,0.8995169478,0.1004830522,NA,0.3767584021,0.2424177812,NA,1.12873e-4,0.0017321661,NA,NA,3,2:1,-30.471237853,-37.3869638727,-44.942475706,0.3550580617,-37.0319058109,0.3550580617,-37.031905812,8,F,0.4458301687483639,15.346150983849105,6,0.1004830522,FAIL,3.7611498059263155e-4
TRUE,2,2474,52,1849,573,0.0270133389,0.7402834606,0.2327032005,0.1377267641,0.4220038833,0.2092000982,Inf,0.0029402308,0.0029582618,0.050504999,1.5790412396,4,2:0,-2345.1380454878,-4596.5129923401,-4666.2760909755,249.5035936553,-4347.0093986848,146.8360378543,-4449.6769542654,12,P,0.01722602872086032,1.0061325117742457,3.2229965156794425,0.2327032005,PASS,0.9706946483082768
TRUE,2,11044,98,4594,6352,0.0156673954,0.414216429,0.5701161756,0.1720843031,0.3489256536,0.168467407,Inf,0.0022337071,0.0014908384,0.051020399,1.4214336171,4,2:1,-12109.9212182077,-24108.1267255388,-24195.8424364154,1032.3828177035,-23075.7439078353,567.0672244669,-23541.0595008898,12,P,0.0711760204156282,1.4982892176643694,1.382589771490751,0.414216429,PASS,0.9678626841273891
TRUE,2,4935,54,3983,898,0.0182800679,0.8011888593,0.1805310728,0.1503093511,0.2912229494,0.1459773303,Inf,0.0017578925,0.0011695991,0.051094899,1.5149945187,4,2:2,-6572.0623677282,-13042.0754400339,-13120.1247354563,482.1196942064,-12559.9557458275,278.1369380338,-12763.9385015292,12,P,0.005012498848254721,1.5029872201509047,4.431590656284761,0.1805310728,PASS,0.9403835008467888
